Authors	Code	Title	Year	Method	Decision	Source title	Abstract	DOI	Link
Richey R.G., Jr.; Musgrove C.F.; Gillison S.T.; Gabler C.B.	RMGG_2014	The effects of environmental focus and program timing on green marketing performance and the moderating role of resource commitment	2014	Field Study	Yes	Industrial Marketing Management	Should firms adopt sustainable marketing policy and develop green products? Most popular press says yes, but industry remains slow to act upon such initiatives. Drawing upon recent research in the Industrial Marketing Management Sustainability Special Issue, this research investigates the impact of green initiatives on firm performance and how the related commitment of resources impacts the effectiveness of those initiatives. The goal of this paper is to explore the effectiveness of green marketing on firm performance, in terms of financial performance, market performance, and service quality. Further, resource commitment is examined as a possible boundary condition of these relationships. Using multi-source data, the findings suggest that the commitment of proper resources is critical to the success of any green initiative. This study also supports the notion that being the first firm in an industry to initiate a green program provides few tangible benefits. More importantly, even firms with an environmental focus neglect to realize superior performance unless the specific strategy is matched with consistent support from top management. © 2014.	10.1016/j.indmarman.2014.06.014	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84909990918&doi=10.1016%2fj.indmarman.2014.06.014&partnerID=40&md5=21bb7f66a8512479b3a03374b41fcd4c
Rowe Z.O.; Wilson H.N.; Dimitriu R.; Charnley F.J.; Lastrucci G.	RWDCL_2019	Pride in my past: Influencing sustainable choices through behavioral recall	2019	Experiments	Yes	Psychology and Marketing	Emotional appraisal research has demonstrated that recalling a past behavior and its associated emotions can influence future behavior. However, how such recalled emotions shape sustainable consumer choice has not been examined. This study examines the role of recalled pride and guilt in shaping sustainable purchase intentions and the mediating role of anticipated pride and guilt. A conceptual model is proposed for motivating sustainable purchase intentions through the emotions associated with the behavioral recall. The model is applied in two experiments with online consumers examining purchase intentions of low carbon cars. Recalling feelings of pride associated with a past sustainability-related behavior increases sustainable purchase intention, as compared with a neutral recall. This effect occurs through the mediation of both anticipated pride at the prospect of a sustainable behavior choice and anticipated guilt if the future choice is not sustainable. Similar hypotheses relating to recalled guilt at past unsustainable behavior were not supported. The study contributes to research on sustainable consumption, revealing an emotional route by which past behavior can influence future behavior. It also adds to emotional appraisal research by showing the role of specific self-conscious emotions in forming this route, as prior research has focused more broadly on emotional valence. © 2019 Wiley Periodicals, Inc.	10.1002/mar.21178	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060738413&doi=10.1002%2fmar.21178&partnerID=40&md5=edca5af8939a103625c0641c1440b338
Sharma A.; Borah S.B.; Haque T.; Adhikary A.	SBHA_2024	Engaging customers and suppliers for environmental sustainability: Investigating the drivers and the effects on firm performance	2024	Field Survey	Yes	Journal of the Academy of Marketing Science	While firms engage stakeholders in their sustainability practices to contribute to a better world resiliently and responsibly, little is known about what drives their ability to generate customer engagement (CE) and supplier engagement (SE) for sustainability purposes. This paper identifies, theorizes, and empirically validates the differential roles of board oversight and incentivization, along with contingencies (a chief marketing officer’s (CMO) presence and governance disclosure), in driving CE and SE. Using data from 308 firms, the paper finds that while board oversight and incentivization positively affect CE, only incentivization positively affects SE. The paper also finds significant moderation effects of CMO presence and governance disclosure. Through multiple post hoc analyses, the paper explores how CE and SE influence firm performance. The paper provides a nuanced understanding of incentive types’ effects and contributes to the literature on grand challenges connecting firms’ strategies and sustainability objectives to customer and supplier engagement. © 2024, Academy of Marketing Science.	10.1007/s11747-023-00995-7	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181245444&doi=10.1007%2fs11747-023-00995-7&partnerID=40&md5=599b056a9474db322241bca049a30083
Sun J.J.; Bellezza S.; Paharia N.	SBP_2021	Buy Less, Buy Luxury: Understanding and Overcoming Product Durability Neglect for Sustainable Consumption	2021	Experiments	Yes	Journal of Marketing	The authors propose that purchasing luxury can be a unique means to engage in sustainable consumption because high-end products are particularly durable. Six studies examine the sustainability of high-end products, investigate consumers’ decision making when considering high-end versus ordinary goods, and identify effective marketing strategies to emphasize product durability, an important and valued dimension of sustainable consumption. Real-world data on new and secondhand accessories demonstrate that high-end goods can be more sustainable than mid-range products because they have a longer life cycle. Furthermore, consumers engage in more sustainable behaviors with high-end goods, owning them for longer and disposing of them in more environmentally friendly manners. Nevertheless, many consumers prefer to concentrate their budget on multiple ordinary goods in lieu of fewer high-end products partly because of product durability neglect, a failure to consider how long a product will last. Although consumers generally believe that high-end products last longer, they fail to take such a notion into account when making purchases. Finally, this research offers actionable strategies for marketers to help consumers overcome product durability neglect and nudge them toward concentrating their budget on fewer high-end, durable products. © American Marketing Association 2021.	10.1177/0022242921993172	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104406099&doi=10.1177%2f0022242921993172&partnerID=40&md5=c0ac85d41d0fbcc91cac5fcaad8a2646
Strizhakova Y.; Coulter R.A.	SC_2013	The "green" side of materialism in emerging BRIC and developed markets: The moderating role of global cultural identity	2013	Survey	Yes	International Journal of Research in Marketing	Drawing on cultural identity theory, global consumer culture theory, and sustainability research, we examine the "green" side of materialism in emerging BRIC markets and developed (U.S. and Australian) markets. We assess the moderating effect of global cultural identity on the relationship between materialism and environmentally friendly tendencies using three different conceptualizations and measures of global cultural identity - the lifestyle and brand dimensions of global consumption orientation and global connectedness. In emerging markets, we observe strong positive effects of materialism on the concern for environmentally friendly products, the willingness to pay extra for environmentally friendly products, perceptions of global companies as environmentally friendly, and the likelihood to engage in environmentally friendly tendencies for the global segment across all three conceptualizations of global cultural identity; in addition, for individuals with a glocal cultural identity, we observe a significant positive relationship between materialism and these measures of environmentally friendly tendencies. In developed markets, significant effects are observed only for the global segment, but specific effects depend on the conceptualization of a global cultural identity. Therefore, our results indicate that multinational companies focused on combining materialistic appeals with their green positioning in the emerging markets must carefully target consumers with a strong global cultural identity. © 2012 Elsevier B.V.	10.1016/j.ijresmar.2012.08.003	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873146871&doi=10.1016%2fj.ijresmar.2012.08.003&partnerID=40&md5=957f2a68ac3e643b45362eb1865c54c1
Steenis N.D.; van Herpen E.; van der Lans I.A.; van Trijp H.C.M.	SHLT_2023	Partially Green, Wholly Deceptive? How Consumers Respond to (In)Consistently Sustainable Packaged Products in the Presence of Sustainability Claims	2023	Experiments	Yes	Journal of Advertising	Firms often emphasize “green” benefits for products that are only partially more sustainable than alternatives (e.g., a more sustainable packaging with similar product ingredients). The current article posits that such strategies can lead to a perceived claim–fact discrepancy and examines to what extent this makes consumers feel deceived and detracts from attitudes and purchase intentions, even though consumers can intrinsically value the (partial) sustainability improvements. In addition, given that marketing communication often relies on puffery such as exaggerated language and (visual) hyperbole, the article also investigates the effect of the use of puffery versus more subdued claims. Findings from two experiments unveil that when the actual sustainability of packaged products is (partially) discrepant with an overt sustainability claim, this leads to higher perceived deception. The use of puffery has both pros and cons, such that it adds to perceived sustainability but also to perceived deception, and it moderates the effects of actual sustainability. Furthermore, the results provide initial support for the idea that sustainability improvements in only peripheral attributes (packaging) are perceived as more deceptive than sustainability improvements in only central attributes (product contents). © 2022 The Author(s). Published with license by Taylor & Francis Group, LLC.	10.1080/00913367.2022.2047841	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130629843&doi=10.1080%2f00913367.2022.2047841&partnerID=40&md5=a7c4b5543af0d57bb78145333f535e9c
Sokolova T.; Krishna A.; Döring T.	SKD_2011	Paper Meets Plastic: The Perceived Environmental Friendliness of Product Packaging	2023	Experiments	Yes	Journal of Consumer Research	Packaging waste makes up more than 10% of the landfilled waste in the United States. While consumers often want to make environmentally friendly product choices, we find that their perceptions of the environmental friendliness of product packaging may systematically deviate from its objective environmental friendliness. Eight studies (N = 4,103) document the perceived environmental friendliness (PEF) bias whereby consumers judge plastic packaging with additional paper to be more environmentally friendly than identical plastic packaging without the paper. The PEF bias is driven by consumers' "paper = good, plastic = bad"beliefs and by proportional reasoning, wherein packaging with a greater paper-to-plastic proportion is judged as more environmentally friendly. We further show that the PEF bias impacts consumers' willingness to pay and product choice. Importantly, this bias can be mitigated by a "minimal packaging sticker"intervention, which increases the environmental friendliness perceptions of plastic-only packaging, rendering plastic-packaged products to be preferable to their plastic-plus-paper-packaged counterparts. This research contributes to the packaging literature in marketing and to research on sustainability while offering practical implications for managers and public policy officials.  © 2023 The Author(s).	10.1093/jcr/ucad008	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163856892&doi=10.1093%2fjcr%2fucad008&partnerID=40&md5=cca9c8e651b9ab93371c7c334a368d6f
Sangwan V.; Maity M.; Tripathi S.; Chakraborty A.	SMTC_2024	From discomfort to desirable: The effect of embarrassment on prosocial consumption	2024	Experiments	Yes	Psychology and Marketing	Embarrassment plays a pivotal role in the consumer landscape by significantly influencing consumers' purchase and consumption experiences. While marketing scholarship has primarily focused on the undesirable facets of embarrassment, the present research examines the positive outcomes of embarrassment for consumers, firms, and the environment. Based on costly signaling theory, this research seeks to determine the effect of embarrassment on consumer preferences toward prosocial products. Using six experimental studies (including one in the Supporting Information: Appendix), we demonstrate that embarrassment positively influences the purchase intention for environment-friendly and sustainable products. Using lab and consequential studies, we show that the motivation to repair the social image mediates the effect of embarrassment on prosocial product preference. We also identify that public self-consciousness moderates this effect, such that embarrassed individuals with high (vs. low) public self-consciousness exhibit higher prosocial product preference. We also show that our core predictions on the effect of embarrassment on prosocial products is contingent upon the social context, such that embarrassment leads to enhanced intentions to repair social image and prosocial product preference in public but not in private purchase context. The results hold for various product categories. The findings contribute to a greater theoretical understanding of embarrassment by revealing a prosocial facet of the phenomenon. © 2024 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	10.1002/mar.22012	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191172815&doi=10.1002%2fmar.22012&partnerID=40&md5=048a68ba96f9ed5a3d8202be90d1a7e1
Simpson B.J.K.; Radford S.K.	SR_2014	Situational variables and sustainability in multi-attribute decision-making	2014	Conjoint Experiment	Yes	European Journal of Marketing	Purpose: The purpose of this study is to examine whether consumers demonstrate a multi-dimensional understanding of sustainability in their decision-making and addresses the situational influence of confidence and compromise on sustainable product choices. Design/methodology/approach: Using three choice-based conjoint experiments the authors examined the importance of sustainability, compromise and confidence to consumers across two contexts. Two-step cluster analyses were used to segment consumers based on the importance scores. Findings: Data indicates that the environmental dimension of sustainability is the most influential followed by economic and social. The responses suggest three distinct segments identified as self-focused, trend motivated and reality driven that demonstrate significantly different characteristics in their approach to sustainable products. Research limitations/implications: Current research tends to focus on the environmental dimension, while paying little heed to the economic and social dimensions. This research indicates that consumers consider all three dimensions when making sustainable product choices and highlights that differences may emerge with respect to product utility. Practical implications: Firms must be aware that consumers differ in the importance they place on sustainability. The reality-driven segment is the most attractive segment, as they are highly engaged and are willing to invest time in understanding the complexities of sustainability. The trend-motivated segments are more fickle with superficial knowledge, and the self-focused segments are self-serving in their orientations and use price as a key decision variable. Originality/value: The paper addresses an important oversight in the sustainability literature. It provides both a theoretical contribution to advance marketing research and a practical contribution that may be of interest to those trying to market sustainable products. © Emerald Group Publishing Limited.	10.1108/EJM-04-2012-0219	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937204046&doi=10.1108%2fEJM-04-2012-0219&partnerID=40&md5=bc4600e7ee219a42d4543a4b33897c2b
Tal A.; Gvili Y.; Amar M.	TGA_2022	The influence of companies' moral associations on the product consumption experience: The role of moral disgust	2022	Experiments	Yes	Psychology and Marketing	Can moral associations linked with food products harm hedonic consumption experience? Across four studies, we show that moral associations linked to food that clash with values (racism and animal welfare) held by today's ethical consumers can engender moral disgust, which in turn undermines both expected and actual taste experience. The studies contribute to the literature by showing that associations impact consumption experience even in the absence of concrete actions, and by revealing moral disgust as the mechanism underlying this phenomenon. Importantly, this effect was observed even when the moral associations involved racism or sustainability (e.g., animal welfare), which have no direct relationship to product quality. This reveals that mere moral associations, rather than quality associations, influence hedonic consumption experience, rather than quality associations. More broadly, the findings point to the ways in which extrinsic attributes affect product experience and evaluation, particularly in hedonic consumption. This may be particularly impactful for values clashing with those championed by ethical consumers. From a practical perspective, these studies provide a broader perspective on corporate social responsibility by showing that companies should exercise caution when exploiting the moral associations linked to their products. © 2022 Wiley Periodicals LLC.	10.1002/mar.21704	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131523850&doi=10.1002%2fmar.21704&partnerID=40&md5=a99fed11c1bfd1bded4ea84502d56f92
Tofighi M.; Grohmann B.; Bodur H.O.	TGB_2020	Ethical attribute and brand concept congruity enhances brand evaluations	2020	Experiments	Yes	European Journal of Marketing	Purpose: This paper aims to examine to what extent congruity between ethical attributes (i.e. product attributes with positive implications for the environment, human rights, social issues and animal welfare) and brand concept (i.e. the unique meaning associated with a brand in consumers’ minds) influences consumers’ evaluations of brands offering ethical attributes. Design/methodology/approach: Four studies involving North American consumers empirically tested the moderation effect of brand concept on consumer evaluations of ethical attributes and the mediating role of perceived congruity. Findings: This research finds an interactive effect of ethical attribute type and brand concept on brand evaluations, such that congruent ethical attribute–brand concept pairings (i.e. a utilitarian [symbolic] ethical attribute offered by a brand with a utilitarian [symbolic] brand concept) result in more favorable brand evaluations (Studies 1, 2, 3 and 4). Consumers’ perceptions of congruity between ethical attributes and brand concepts mediate this interactive effect (Studies 2 and 3). Moreover, a positive congruity effect of ethical attributes and brand concepts emerges at higher levels of conspicuous brand consumption (Study 4). Research limitations/implications: It is important to acknowledge that the current research did not specifically consider the case of utilitarian and symbolic ethical attribute offerings by luxury brands. This is a question that is left to future investigations. Practical implications: For marketing managers, findings indicate that brands gain from ethical attribute introductions only when these attributes are congruent with the brand concept. In addition, brands benefit to a greater extent from offering congruent ethical attributes when brand consumption is conspicuous. Originality/value: The findings of this research contribute to the literature on the effect of ethical attributes on consumers’ responses to brands and highlight the importance of brands’ choice of ethical attributes. © 2020, Emerald Publishing Limited.	10.1108/EJM-02-2018-0104	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076837953&doi=10.1108%2fEJM-02-2018-0104&partnerID=40&md5=ade8df34369dcafbac1b8aabc35fe62e
Tzanidis T.; Magni D.; Scuotto V.; Maalaoui A.	TMSM_2024	B2B green marketing strategies for European firms: Implications for people, planet and profit	2024	Field Survey	Yes	Industrial Marketing Management	The present research addresses the gap in studies on B2B marketing comparing a diverse set of socio-economic factors (ROA and Tobin’ s Q) and its effects on people, planet, and profit. Studies in the past have shown that firms haven't been able to gain a long-term competitive advantage by using environmental strategies. Hence, the research analyses how 371 B2B firms from developed and emerging European countries achieve competitive advantage through green marketing strategies. Additionally, those firms are also assessed in reference to their level of engagement with environmental, social, and governance strategies. Our findings highlight that the more the engagement in green marketing by B2B firms, the greater the green competitive advantage that B2B firms in developed European markets can achieve. Hence, the study explores the relationship of B2B marketing, environmental sustainability, and corporate profitability, providing insights into how European firms can balance their financial objectives with their social and environmental responsibilities. The originality of the research stressed the need to pursue social and environmental goals and to preserve the future of people, planet, and profit through green marketing strategies. Investing in future business models and green competitive advantage is especially important for B2B European emerging firms' markets. © 2024 Elsevier Inc.	10.1016/j.indmarman.2024.01.018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184471959&doi=10.1016%2fj.indmarman.2024.01.018&partnerID=40&md5=b17d68dcddbe308c2eb261a52ada3584
Tezer A.; Philp M.; Suri A.	TPS_2023	The greenguard effect: When and why consumers react less negatively following green product failures	2023	Experiments	Yes	Journal of the Academy of Marketing Science	This research explores consumer reactions following green product failures, identifying a novel benefit for companies selling environmentally friendly products. Across an empirical field analysis and eight controlled experiments, the authors show that consumers react less negatively to the failure of green products than conventional ones, which is referred to as the greenguard effect. The findings suggest that by not reacting negatively to green product failures, consumers believe they are being more prosocial, as their negative reaction may harm the success of a product that otherwise benefits the environment and society. This research contributes to the literature on green products by highlighting a novel benefit of green product attributes and demonstrating how prosocial motives influence consumer reactions to green product failures, and offers valuable insights for marketers on green product marketing. © 2023, Academy of Marketing Science.	10.1007/s11747-023-00991-x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178420639&doi=10.1007%2fs11747-023-00991-x&partnerID=40&md5=e68cec65b02cc541c468e8495b6d3ca5
Testa F.; Russo M.V.; Cornwell T.B.; McDonald A.; Reich B.	TRCMR_2018	Social sustainability as buying local: Effects of soft policy, meso-level actors, and social influences on purchase intentions	2018	Survey	Yes	Journal of Public Policy and Marketing	Recently issued United Nations Sustainable Development Goals call for people to make extensive behavioral changes, including consuming food more sustainably. The authors explore the role that meso-level retailers play in local purchasing, an activity that the United Nations recognizes as a contributor to sustainability. In so doing, the authors promote more balance within the marketing literature, which has focused more on the environmental component of products and purchasing and less on the local dimension. This article spotlights “soft” policies, those that use persuasion and encourage voluntary action, rather than direct methods, such as subsidies and regulations. The authors develop a core hypothesis about how social norm messages and attitudes toward local food affect consumer purchase intentions. They test this hypothesis across national contexts via online surveys of 316 Italian consumers (Study 1) and 186 U.S. consumers (Study 2). The analysis reveals that in both countries, the effectiveness of social norm messages increases with unfavorable attitudes toward local buying. The study concludes with thoughts for researchers and policy makers about how meso-level actors, such as retailers, can elicit more local purchasing. © 2018, American Marketing Association.	10.1509/jppm.16.215	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063484399&doi=10.1509%2fjppm.16.215&partnerID=40&md5=0585ddadc6f8cd3bf3656355634a42fd
Thürridl C.; Mattison Thompson F.	TT_2023	Making brand activism successful: How advice-giving can boost support behavior and reap benefits for the brand	2023	Experiments	Yes	Marketing Letters	Brand activism, i.e., taking a public stance towards sociopolitical issues, is a controversial strategic marketing tool for firms. Prior work shows that at best, it has no significant positive impact on consumer support and outcomes for brands. In this research, we propose and explore how advice-giving impacts consumer brand activism support and brand liking. Across four studies we find that advice-giving leads to more successful brand activism by increasing brand activism support behavior, and also has benefits for the brand. We show that advice-giving drives higher levels of normative influence which leads to higher brand activism support behavior. We also study a boundary condition and show that even when brands do not follow consumers’ advice, advice-giving has no negative behavioral and attitudinal consequences for the brand. Overall, we contribute to literature on brand activism and advice-giving and help marketers in strategically and effectively designing their brand activism activities. © 2023, The Author(s).	10.1007/s11002-023-09677-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153409494&doi=10.1007%2fs11002-023-09677-4&partnerID=40&md5=41372a4309eaef515ac23485a3daa462
Wood S.	W_2012	Prone to progress: Using personality to identify supporters of innovative social entrepreneurship	2012	Survey	Yes	Journal of Public Policy and Marketing	One of the main challenges in social entrepreneurship is capturing stakeholder support-from consumers, to legislators, to volunteers, to many others. Identifying likely supporters is the first step to sustainable success, but a difficult one. This research examines whether personality influences a person's tendency to support innovative social entrepreneurial (SE) ventures. Here, the possible influence of the "Big Five" personality traits (i.e., openness, conscientiousness, extroversion, agreeableness, and neuroticism [OCEAN]) is examined; however, in line with prior research, attention is focused on both openness (an OCEAN trait) and empathy (a non-OCEAN trait). Two types of SE ventures are considered: social innovations and technological innovations. Data from a survey evaluating six SE ventures (three social and three technological) reveal that participants' personality influences support; however, observed influence differs by type of venture-openness underlies support of technological innovations, and empathy underlies support of social innovations. Further process analysis demonstrates that this influence is not direct but rather is mediated by people's perceptions of how much change the venture will make. These results offer social entrepreneurs insights into who might be prone to support SE ventures and, more important, why. © 2012, American Marketing Association.	10.1509/jppm.11.060	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862570159&doi=10.1509%2fjppm.11.060&partnerID=40&md5=c8b4a650d7bccc8d35ad1042eb7bdc2e
van der Wal A.J.; van Horen F.; Grinstein A.	WHG_2016	The paradox of 'green to be seen': Green high-status shoppers excessively use (branded) shopping bags	2016	Field Study	Yes	International Journal of Research in Marketing	This research conceptually replicates, in a real-world setting, prior lab findings showing that status motives make people publicly display sustainable behavior. The results show that shoppers of a high-status sustainable grocery chain display sustainable shopping more by using branded shopping bags than shoppers of a lower-status chain. Extending previous findings, we demonstrate the non-sustainable costs of acting sustainably for status reasons: high-status "green" shoppers are more likely to buy new bags rather than bring their own. © 2015 Elsevier B.V.	10.1016/j.ijresmar.2015.11.004	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953431750&doi=10.1016%2fj.ijresmar.2015.11.004&partnerID=40&md5=74088c2d0a97009662e2a8ec77fd0e8f
Wang W.; Krishna A.; McFerran B.	WKM_2017	Turning off the lights: Consumers' environmental efforts depend on visible efforts of firms	2017	Experiments	Yes	Journal of Marketing Research	Firms can save considerable money if consumers conserve resources (e.g., if hotel patrons turn off the lights when leaving the room, if restaurant patrons use fewer paper napkins, if airline passengers clean up after themselves). In two studies conducted in real-world hotels, the authors show that consumers' conservation behavior is affected by the extent to which consumers perceive the firm as being green. Furthermore, consumer perceptions of firms' greenness and consumer conservation behavior depend on (1) whether the firm asks consumers to conserve resources, (2) the firm's own commitment to the environment, and (3) the firm's price image. In addition, firm requests to consumers to save resources can create consumer reactance and can backfire when firms themselves do not engage in visible costly environmental efforts. Such reactance is more likely for firms with a high-price image. Finally, the authors show that by spending a little money to signal environmental commitment, firms can save even more money through consumers' conservation of resources, resulting in wins for the firm, the consumer, and the environment. © 2017, American Marketing Association.	10.1509/jmr.14.0441	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023647387&doi=10.1509%2fjmr.14.0441&partnerID=40&md5=8ded903136cc9e9d1c6569024736051c
Wan C.; Lee D.; Ng P.	WLN_2024	The role of anthropomorphism and racial homophily of virtual influencers in encouraging low- versus high-cost pro-environmental behaviors	2024	Experiments	Yes	Psychology and Marketing	Virtual influencers have great potential to shape the audience's perception and motivate behavioral change. Drawing upon anthropomorphism theory and social identity theory, this paper examined the interaction effect of anthropomorphism and racial homophily of virtual influencers in shaping audiences' trust and subsequently pro-environmental behaviors in low- and high-cost contexts. Two online studies employing experimental materials generated by artificial intelligence were conducted. Study 1 revealed that high anthropomorphism (human-like virtual influencers) and high racial homophily (local-like virtual influencers) are more effective for eliciting trust in the context of low-cost pro-environmental behaviors. The findings also showed that low racial homophily (foreign-like virtual influencers) would further weaken the trust level of a virtual influencer in low anthropomorphism (animate-like virtual influencers). Study 2 aimed to replicate the findings from Study 1 in the context of high-cost pro-environmental behaviors. The findings showed that low racial homophily (foreign-like virtual influencers) enhanced the trust in a high anthropomorphism (human-like virtual influencers) virtual influencer. The moderated mediation analyses confirmed the hypothesized relationships in the proposed research model. This research advanced our understanding on the moderating role of racial homophily that serves as a cognitive shortcut for low-cost and quick decisions. However, a low racial homophily (foreign-like) virtual influencer would be more effective for high-cost and symbolic pro-environmental behaviors. These insights provide valuable guidance to businesses, marketers, and environmental advocates aiming to leverage virtual influencers for encouraging sustainability practices. © 2024 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	10.1002/mar.22013	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192207780&doi=10.1002%2fmar.22013&partnerID=40&md5=fcb5f420d6e550fa56fb2cd86fbcc9ee
Wallach K.A.; Popovich D.	WP1_2023	Cause Beneficial or Cause Exploitative? Using Joint Motives to Increase Credibility of Sustainability Efforts	2023	Experiments	Yes	Journal of Public Policy and Marketing	Consumer perceptions of brand motives related to corporate environmental responsibility affect the decisions of both corporations and consumers. Yet prior literature has typically viewed these firm motives as dichotomous, either solely intrinsic or solely extrinsic. The authors argue for a novel approach to positioning sustainability motives, where the brand communicates both intrinsic and extrinsic benefits together, as a joint motive. With a joint motive, a brand can highlight how an effort can benefit both planet and business with a “doing well by doing good” approach. Across five experiments, including a field study on Facebook, this research investigates the positive impact of the joint motive and its ability to enhance the credibility of sustainable initiatives via heightened perceptions of trustworthiness and expertise. Results provide converging evidence for the benefits of presenting a joint motive for sustainability efforts with implications for policy and practice. © American Marketing Association 2022.	10.1177/07439156221138755	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145739691&doi=10.1177%2f07439156221138755&partnerID=40&md5=275b7853b7837ab5bcb6685206002a30
Wei Y.; Pujari D.	WP2_2023	Does buying green pay off? Stock market reactions to green acquisitions	2023	Field Survey	Yes	Industrial Marketing Management	As sustainability trends gain momentum, more businesses seek to expand their green business portfolios by acquiring firms with green technologies or green brands. However, the financial impact of this green marketing strategy is unclear. Utilizing event study methodology and the two-stage Heckman selection model, this study investigates stock market valuations of 182 announcements about green acquisitions from US public firms between 2000 and 2018. We report several interesting findings. First, we find that green acquisitions are accompanied by positive stock market reactions. Second, the stock market reacts more favorably to acquirers with a higher level of marketing capability and a lower level of innovation capability when green acquisitions are announced. Third, industry sensitivity moderates the effects of the two aforementioned organizational capabilities on the stock market return−green acquisition relationship. We gain insight into investor responses in the context of green acquisitions through the lens of marketing and innovation capabilities. The findings enrich research in the domain of marketing−finance interface and sustainability marketing by shedding light on the short-term green acquisition–firm value relationship. © 2023	10.1016/j.indmarman.2023.08.001	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167966196&doi=10.1016%2fj.indmarman.2023.08.001&partnerID=40&md5=d185797dea465f2311d036543d1c73c0
Whittaker L.; Russell-Bennett R.; Mulcahy R.	WRM_2021	Reward-based or meaningful gaming? A field study on game mechanics and serious games for sustainability	2021	Field Study	Yes	Psychology and Marketing	Despite investigating digital gaming for commercial purposes, less scholarly attention exists on digital gaming for societal purposes such as sustainability (“serious games”). The current study investigates whether a serious game can enhance sustainability marketing outcomes, including knowledge, value-in-behavior, and behavioral intentions longitudinally (pre-gameplay to post-gameplay). Further, the study seeks to understand the influence of reward-based and meaningful game mechanics on these sustainability marketing outcomes. We recruited 387 participants for a week-long field study using a serious game which encourages household energy conservation. The findings show that the serious game significantly increased sustainability knowledge, value-in-behavior, and sustainable behavioral intention after one week. Reward-based game mechanics (badges and trophies) significantly influenced sustainability knowledge and indirectly influenced value-in-behavior via sustainability knowledge, whereas reward-based (points) and meaningful (educational messages) game mechanics had little impact. The results empirically support the conceptual model theorization—underpinned by a “do–learn–feel” behavioral learning approach—which possessed superior fit to a “do–feel–learn” rival model. This study provides novel insights regarding eliciting value-in-behavior longitudinally within serious games. Our multidimensional approach to assessing reward-based game mechanics extends prior studies and suggests that higher-tier rewards are more influential than lower-tiered rewards to achieve sustainability marketing outcomes. We further demonstrate that reward-based game mechanics outperform meaningful game mechanics at influencing desired outcomes, challenging existing gaming literature. © 2021 Wiley Periodicals LLC	10.1002/mar.21476	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102533674&doi=10.1002%2fmar.21476&partnerID=40&md5=90e06b6720235f6a13654e35aa00c2bf
White K.; Simpson B.	WS_2013	When do (and don't) normative appeals influence sustainable consumer behaviors	2013	Experiments	Yes	Journal of Marketing	The authors explore how injunctive appeals (i.e., highlighting what others think one should do), descriptive appeals (i.e., highlighting what others are doing), and benefit appeals (i.e., highlighting the benefits of the action) can encourage consumers to engage in relatively unfamiliar sustainable behaviors such as "grasscycling" and composting. Across one field study and three laboratory studies, the authors demonstrate that the effectiveness of the appeal type depends on whether the individual or collective level of the self is activated. When the collective level of self is activated, injunctive and descriptive normative appeals are most effective, whereas benefit appeals are less effective in encouraging sustainable behaviors. When the individual level of self is activated, self-benefit and descriptive appeals are particularly effective. The positive effects of descriptive appeals for the individual self are related to the informational benefits that such appeals can provide. The authors propose a goal-compatibility mechanism for these results and find that a match of congruent goals leads to the most positive consumer responses. They conclude with a discussion of implications for consumers, marketers, and public policy makers. © 2013, American Marketing Association.	10.1509/jm.11.0278	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874644504&doi=10.1509%2fjm.11.0278&partnerID=40&md5=6229be2b740d7e6195c05c6cd5631947
