Authors	Code	Title	Method	Decision	Year	Abstract	Source title	DOI	Overlap	Term	Link
Lu F.-C.; Sinha J.	LS_2024	How social media usage and the fear of missing out impact minimalistic consumption	Experiments	Yes	2024	Purpose: This study aims to examine the influence of social media usage (SMU) on minimalist consumption and how the fear of missing out (FoMO) underlies this effect. Design/methodology/approach: Four preregistered correlational/experimental studies (n = 1,763) are used. A pilot study (n = 436) examines the correlations between SMU, FoMO and minimalism. Studies 1 (n = 409), 2 (n = 415) and 3 (n = 503) further investigate the influence of SMU on minimalist consumption intentions, including mindful purchase, forgoing free products and decluttering, and test for evidence of mediation via FoMO by measuring or manipulating FoMO. Findings: The results show that a high SMU makes consumers susceptible to FoMO, leading to impulsive purchases and careless product acquisition. However, when campaigners promote minimalism as a social media movement, they can activate FoMO, persuading consumers to practice decluttering. Research limitations/implications: Future research might examine how subjective age affects FoMO and minimalist consumption tendencies. Could campaigners use young social cues to make older consumers more susceptible to FoMO appeals? Could old social cues cause younger consumers to perceive greater social responsibility and to embrace minimalist consumption? Practical implications: Minimalist lifestyles can promote sustainable consumption. This research provides insights into how SMU is a double-edged sword – it can cause FoMO users to disdain minimalism. However, it can promote minimalism if a minimalist campaign is strategically positioned as a social media movement using a FoMO-laden appeal. Originality/value: Extant consumer behavior research on minimalism has just begun to investigate the antecedents of minimalist consumption. FoMO is conceptually related to minimalism, but the relationship between FoMO and minimalist consumption has not yet been empirically tested. This research fills these gaps by examining SMU and the associated FoMO as antecedents of minimalist consumption. Empirical evidence for the impact of SMU on various minimalist consumption behaviors and the mediating role of FoMO is provided. © 2024, Emerald Publishing Limited.	European Journal of Marketing	10.1108/EJM-08-2022-0641	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185185504&doi=10.1108%2fEJM-08-2022-0641&partnerID=40&md5=5be5385a445ac785dee3171d4d508957
Li Y.; Wei L.; Zeng X.; Zhu J.	LWZZ_2020	Mindfulness in ethical consumption: the mediating roles of connectedness to nature and self-control	Survey	Yes	2020	Purpose: Ethical consumption is an integral component for the sustainable development in the world and is especially challenging in the Western consumer society. This research demonstrates that mindfulness, a Buddhism-based notion, is associated with two related and distinctive approaches of ethical consumption: refinement and reduction. It examines the psychological mechanisms underlying the effects of mindfulness on these two approaches of ethical consumption. Design/methodology/approach: Self-report data were collected through an online survey with consumers from western societies (N = 523). Findings: The findings show (1) that the significance of mindfulness on both approaches of ethical consumption and (2) that the contrast between the different mechanisms underlying them. Specifically, the mindfulness–consumption refinement link is fully mediated by connectedness-to-nature whereas the mindfulness–consumption reduction link is fully mediated by connectedness-to-nature and self-control. A series of supplementary studies further confirmed the proposed model. Research limitations/implications: It demonstrates the multifaceted and complex nature of ethical consumption, which is positively associated with mindfulness but through distinctive psychological mechanisms. Practical implications: The multifaceted and complex nature of ethical consumption and its underlying drivers need special attention. Mindfulness can be an effective means to boost ethical consumption behavior. Meanwhile, nurturing the sense of connectedness to nature and self-control capability facilitates the path-through of the positive impacts of mindfulness Social implications: The findings can be adopted to enhance the effectiveness of mindfulness practice in promoting ethical consumption towards achieving the Sustainable Consumption goal, especially in the West. Originality/value: The paper makes original contribution by conceptualizing two interrelated and distinctive approaches of ethical consumption and shows how mindfulness promotes both through different mediating pathways. Overall, this study paints a clearer picture how mindfulness relates to ethical consumption. © 2020, Emerald Publishing Limited.	International Marketing Review	10.1108/IMR-01-2019-0023	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100527972&doi=10.1108%2fIMR-01-2019-0023&partnerID=40&md5=1affb140d5fed18dcc0606a1c3cab746
Mookerjee S.; Cornil Y.; Hoegg J.	MCH_2021	From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce	Experiments	Yes	2021	Food producers and retailers throw away large amounts of perfectly edible produce that fails to meet appearance standards, contributing to the environmental issue of food waste. The authors examine why consumers discard aesthetically unattractive produce, and they test a low-cost, easy-to-implement solution: emphasizing the produce’s aesthetic flaw through “ugly” labeling (e.g., labeling cucumbers with cosmetic defects “Ugly Cucumbers” on store displays or advertising). Seven experiments, including two conducted in the field, demonstrate that “ugly” labeling corrects for consumers’ biased expectations regarding key attributes of unattractive produce—particularly tastiness—and thus increases purchase likelihood. “Ugly” labeling is most effective when associated with moderate (rather than steep) price discounts. Against managers’ intuition, it is also more effective than alternative labeling that does not exclusively point out the aesthetic flaw, such as “imperfect” labeling. This research provides clear managerial recommendations on the labeling and the pricing of unattractive produce while addressing the issue of food waste. © The Author(s) 2021.	Journal of Marketing	10.1177/0022242920988656	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104425291&doi=10.1177%2f0022242920988656&partnerID=40&md5=82ae8bfc4fc18b8b3cef238e697c88aa
Moes A.; Fransen M.; Verhagen T.; Fennis B.	MFVF_2022	A good reason to buy: Justification drives the effect of advertising frames on impulsive socially responsible buying	Experiments	Yes	2022	Today, consumers expect companies to be socially responsible. However, the literature is undecided about the effects of communicating one's corporate social responsibility activities to consumers. This raises the question of how sustainability-driven companies can best advertise their products to stimulate ethical consumption: using self-benefit frames, where the main beneficiary is the consumer, or using other-benefit frames, where the main beneficiary is a third party. Using three experiments, this study examines the effect of other-benefit (vs. self-benefit) advertising frames on consumers' impulse purchases from sustainability-driven companies. Increasing impulse purchases can help such companies to strengthen their competitive positions. Additionally, it is studied to what extent two types of justification (moral versus deservingness) explain the proposed effect of advertising frames. The results show that only other-benefit frames affect impulse buying behavior, both directly, as mediated by moral justification. This study's insights may help sustainability-driven companies to decide on their advertising strategies by providing evidence that other-benefit-framed advertisements are more effective in enhancing impulse purchases than self-benefit-framed advertisements. © 2022 The Authors. Psychology & Marketing published by Wiley Periodicals LLC.	Psychology and Marketing	10.1002/mar.21733	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139194237&doi=10.1002%2fmar.21733&partnerID=40&md5=556fa5c98c2bb464f03f139c87ea2b8d
Meng M.D.; Gamlin J.	MG_2024	Sexually explicit advertisements boost consumer recycling due to moral cleansing goal activation	Experiments	Yes	2024	Building on research showing that sexually explicit advertisements (i.e., those depicting figuratively “dirty” content) are viewed as immoral, three experiments propose and demonstrate that exposure to figuratively dirty (vs. clean) advertisements activates consumers’ moral cleansing goals, which subsequently boosts recycling-related behaviors. These effects do not arise for literally dirty (vs. clean) advertisements, helping to support a goal activation account, rather than mere semantic priming. Further, the effect of figuratively dirty (vs. clean) advertisements on recycling-related behavior is amplified for consumers higher in internalized moral identity. These findings contribute to the literatures on consumer goal activation, moral identity, and sustainability, and have practical implications for marketers considering explicit advertising campaigns and public policy makers wanting to better understand the drivers of consumer recycling. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2023.	Marketing Letters	10.1007/s11002-023-09689-0	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163681760&doi=10.1007%2fs11002-023-09689-0&partnerID=40&md5=5e1458ec851069988db6576089fb5238
Meng M.D.; Leary R.B.	ML_2021	It might be ethical, but I won't buy it: Perceived contamination of, and disgust towards, clothing made from recycled plastic bottles	Experiments	Yes	2021	A popular trend within the fashion industry is to transform recycled plastic bottles into attire, though little research has examined consumer acceptance of these items. This study integrates evolutionary perspectives on contagion, contamination, and the emotion of disgust to explore consumer perception of such goods. Across three studies, this study shows that consumers view products made from used recycled plastic bottles as contaminated, decreasing purchase intentions. Further, this contamination perception is heightened among those with high disgust sensitivity. This study also shows an important boundary condition to this effect, where consumers express greater intentions to use a product made from recycled plastic bottles when it is not touching the skin (e.g., carrying bag) compared to those that are in contact with skin (e.g., T-shirt). Finally, this study shows how marketers can harness this effect by exploiting the evolutionary response to attractive others using the plastic bottles, which results in positive contamination and an increase in willingness to pay. In so doing, the current research is the first to show that highlighting the recycled nature of a product can actually serve as a contamination cue, adding to our theoretical understanding of perceived contamination and the resulting emotion of disgust. © 2019 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21323	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078595992&doi=10.1002%2fmar.21323&partnerID=40&md5=fbb9161ac8846912a32057a97fda3a48
Mullick S.; Raassens N.; Haans H.; Nijssen E.J.	MRHN_2021	Reducing food waste through digital platforms: A quantification of cross-side network effects	Field Survey	Yes	2021	To fight food waste, retail stores have begun selling perishable food close to the expiration date at discounted prices. To render this form of last-minute discounting effective, digital platforms have been developed with the major aim to connect local retail stores and their consumers by sharing information about these discounts. To sustain digital platforms, platform leaders need to ensure both consumers and retail stores remain active on it. To provide platform leaders with advice on how to create a sustainable digital platform, we examine how retail store activity on the digital platform affects consumer activity, and vice versa (also known as cross-side network effects). By combining a PVAR model and an impulse response function, along with data from a digital platform aimed at food waste reduction, we find that the effect of consumer activity on retail store activity is stronger and more long-lasting than the effect of retail store activity on consumer activity. We discuss the implications of our findings for both retail stores and digital platform leaders. © 2020 Elsevier Inc.	Industrial Marketing Management	10.1016/j.indmarman.2020.09.021	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092220533&doi=10.1016%2fj.indmarman.2020.09.021&partnerID=40&md5=f4554800ace457ecd30ed07c7a9973ac
Muralidharan S.; Sheehan K.	MS_2018	The role of guilt in influencing sustainable pro-environmental behaviors among shoppers: Differences in response by gender to messaging about england’s plastic-bag levy	Experiments	Yes	2018	To motivate shoppers to bring reusable bags, England has enforced a carry-bag law, allowing large retailers to charge five pence (£0.05) for a single-use plastic bag. Few studies have addressed the role of guilt in influencing sustainable pro-environmental behaviors among shoppers. The current study investigates two primary questions: Do male and female shoppers perceive guilt differently? Can guilt in an advertising context motivate shoppers to bring reusable grocery bags? Survey findings from Study 1 showed that high guilt was more impactful on women and helped generate favorable attitudes and behavior. The experiment for Study 2, based on the theory of psychological ownership, elicited a moderate level of guilt using advertisements related to egoistic and biospheric concerns. Findings showed that egoistic concerns, such as saving money, were more effective and that this effect was stronger for women than men. Theoretical and managerial implications are discussed. © 2018, World Advertising Research Center. All rights reserved.	Journal of Advertising Research	10.2501/JAR-2017-029	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053337343&doi=10.2501%2fJAR-2017-029&partnerID=40&md5=bb2d6317a1cdf791ee3d5429b5fab1e8
Nickerson D.; Lowe M.; Pattabhiramaiah A.; Sorescu A.	NLPS_2022	The Impact of Corporate Social Responsibility on Brand Sales: An Accountability Perspective	Experiments	Yes	2022	Consumers are increasingly mindful of corporate social responsibility (CSR) when making purchase and consumption decisions, but evidence of the impact of CSR initiatives on actual purchase decisions is lacking. This article introduces a novel brand accountability–based framework of consumer response to CSR initiatives, which categorizes CSR efforts as “corrective,” “compensating,” or “cultivating goodwill.” Leveraging a database of CSR press releases by leading consumer packaged goods brands, the authors examine the effect of the different types of CSR announcements on brand sales. The findings suggest that CSR initiatives that genuinely aim to reduce a brand's negative externalities (“corrective” and “compensating”) lift sales, whereas CSR actions focused on philanthropy (“cultivating goodwill”) can hurt sales. The authors propose two moderators—CSR reputation and CSR focus on environmental or social causes—and a mechanism for these effects, which they examine under controlled experimental settings. The experimental results show that, conditional on CSR reputation, consumers perceive varying degrees of sincerity in the different CSR types and that sincerity mediates the effect of CSR type on purchase intentions. Overall, the results suggest that consumers are more inclined to reward firms that directly reduce the negative by-products of their own business practices than to be impressed by public goodwill gestures. © American Marketing Association 2021.	Journal of Marketing	10.1177/00222429211044155	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118953170&doi=10.1177%2f00222429211044155&partnerID=40&md5=40babe03ba29e4ea6abc0312082a326e
Olsen M.C.; Slotegraaf R.J.; Chandukala S.R.	OSC_2014	Green claims and message frames: How green new products change brand attitude	Field Survey	Yes	2014	In response to a top ten global consumer trend, firms are increasingly introducing environmentally sustainable ("green") new products. Firms allocate significant resources to this area; thus, the authors consider the brand-level implications by investigating how the introduction of green new products changes attitude toward the brand. In examining this relationship, they draw from social identity and framing theories to investigate drivers of green new product introductions as well as the moderating effects of message framing, source credibility, and product type. Estimating a three-stage least squares model based on new product introductions from 75 brands across a four-year time period (2009-2012), the authors find that green new product introductions can indeed improve brand attitude and that both the brand and category's positioning influence the introduction of green new products. They also find that the quantity of green messages, the product type, and their source credibility influence the extent to which green new products change brand attitude. The authors use these findings to provide guidance for managers as they attempt to effectively link their green innovation efforts to improve consumer attitudes toward their brands. © 2014, American Marketing Association.	Journal of Marketing	10.1509/jm.13.0387	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921371169&doi=10.1509%2fjm.13.0387&partnerID=40&md5=c7c640103a15b030c907c331f3033f4c
Paharia N.	P_2020	Who Receives Credit or Blame? The Effects of Made-to-Order Production on Responses to Unethical and Ethical Company Production Practices	Experiments	Yes	2020	While prior research has found that consumer-influenced production improves purchase intentions, the author proposes that it can counterintuitively backfire. This work demonstrates that when consumers have some control over production (e.g., ordering products on demand, customization, preordering), they have lower purchase intentions for products made with unethical processes (e.g., pollution, underpaid labor) than if they had no role in production (i.e., buying what is already in inventory). This effect reverses, however, with positive ethical production (e.g., recycled materials). Because consumers have direct responsibility for whether a product is made, feelings of anticipated guilt or gratification result depending on the ethicality of the production process. This work also proposes a novel threefold conceptualization of responsibility that can be used as managerial levers: direct responsibility, diffusion of responsibility, and broad responsibility. Field studies using Facebook’s advertising platform demonstrate positioning strategies for fair-trade brands and advocacy groups. © American Marketing Association 2019.	Journal of Marketing	10.1177/0022242919887161	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075348893&doi=10.1177%2f0022242919887161&partnerID=40&md5=95076a66301ce5e46b75c9b1b92e4369
Palmié M.; Boehm J.; Friedrich J.; Parida V.; Wincent J.; Kahlert J.; Gassmann O.; Sjödin D.	PBFPWKGS_2021	Startups versus incumbents in ‘green’ industry transformations: A comparative study of business model archetypes in the electrical power sector	Field Survey	Yes	2021	Scholars have recently argued that startups and incumbents play differential roles in the disruptive transformations of industries toward sustainability and that the transformations are only likely to succeed if both startups and incumbents contribute. To understand their respective contributions and, thus, to understand how industries make the transition toward sustainability, comparative studies of incumbents versus startups during this transformation have been identified as a central pursuit, but yet they are mostly lacking. Since business models have become a principal way of characterizing firms, the present study takes a business model perspective and derives business model archetypes in the electrical power sector from an analysis of 280 startups and incumbents in three different countries. The selected countries (USA, UK, and India) represent three different energy profiles and leading instances of disruption in the energy sector. The article, then, undertakes a comparative analysis of startups and incumbents based on the empirically distilled business model archetypes and develops propositions on startups, incumbents, and business models in industry transformations. This analysis produces several important insights. First, incumbents do not seem to engage in less business model experimentation than startups. Second, incumbents have adopted several new business models that are not pursued by startups. Third, startups have espoused some business models that are not pursued by incumbents. Fourth, foreign firms can also affect the ‘green’ transformation of an industry in a focal country. Finally, the identified business model archetypes are likely to be of interest to scholars and practitioners who are seeking an improved understanding of business models in the electrical power industry and the industry's competitive landscape. © 2021 The Author(s)	Industrial Marketing Management	10.1016/j.indmarman.2021.04.003	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107403704&doi=10.1016%2fj.indmarman.2021.04.003&partnerID=40&md5=545b6fe11dc889018f98312b6131f857
Pittman M.; Milfeld T.; Youn K.	PMY_2024	Why a Single Pro-Environmental Appeal Works to Promote Behavioral Change On Social Media, One Tip versus Many Is More Effective for Nongreen Consumers	Experiments	Yes	2024	Some brands, not-for-profit organizations, and social media influencers post tips to encourage prosocial behaviors. This is particularly prevalent in the context of environmental sustainability. Through a series of three studies, including a field experiment using a real brand to investigate click-through rates and cost per click, this research finds that a single green tip (versus many tips) enhances brand attitudes among consumers with low environmental concern. By contrast, the number of tips is less consequential for consumers with high environmental concern. Perceived brand authenticity is the mediating mechanism behind the effect. These findings hold across different product categories and different manipulations for the number of tips. © 2024, World Advertising Research Center. All rights reserved.	Journal of Advertising Research	10.2501/JAR-2024-001	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196717386&doi=10.2501%2fJAR-2024-001&partnerID=40&md5=c6d062222a07bb4b23c22dc91199bab3
Pekovic S.; Rolland S.	PR_2016	Customer orientation and firm’s business performance: A moderated mediation model of environmental customer innovation and contextual factors	Field Survey	Yes	2016	Purpose: The purpose of this study is to develop a better theoretical and empirical understanding of the causal and contextual mechanisms explaining the relationship between customer orientation and business performance. Design/methodology/approach: A three-stage least squares model was used on a sample of 3,720 French firms with 20 or more employees. Findings: By using a moderated mediation approach, it was found that the mediating effect of environmental customer innovation on the relationship between customer orientation and business performance under different contextual factors (market environment, firm size and sector of activity) can be significantly stronger or weaker. Research limitations/implications: This analysis is restricted by the choice of one particular country, and further research should use data from other countries to develop a general understanding of the issues examined. Additionally, examining relevant mechanisms other than firm performance measures will advance the understanding of the customer orientation–firm performance linkage. Because of the fact that the majority of variables used are binary and that each survey was conducted in a particular situation and in a particular context, the picture portrayed could be biased. Because environmental issues not only concern consumers but also all other market actors, it would be highly useful to verify the obtained results using broader concepts such as Hult’s (2011) “market orientation plus” concept or the “sustainable market orientation” developed by Mitchell et al. (2010). Practical implications: According to the results, to achieve market success and sustain a competitive advantage, managers must simultaneously invest in customer orientation and innovation performance. Additionally, managers should consider market environment, firm size and sector of activity as important contingencies in their decision of whether to invest in customer orientation. Originality/value: This study makes an important contribution by opening up a “black box” and offers a deeper perspective on how and why customer orientation affects firm performance. In particular, rather than providing separate analyses of mediating and moderating effects, this study proposes a simultaneous analysis that reveals how and under what conditions customer orientation improves business performance. © 2016, © Emerald Group Publishing Limited.	European Journal of Marketing	10.1108/EJM-08-2015-0584	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002591919&doi=10.1108%2fEJM-08-2015-0584&partnerID=40&md5=b6c6e33de2c0386755f9d7622d09d578
Pantano E.; Stylos N.	PS_2020	The Cinderella moment: Exploring consumers' motivations to engage with renting as collaborative luxury consumption mode	Field Study	Yes	2020	Past literature argued that the purchase of luxury goods is driven by people's motivation to conform or fit into our economic and social system. In this study, the authors focus on a new aspect of consumption, that is, renting instead of purchasing luxury goods, backed by the emerging opportunities of sharing economy platforms. Drawing upon the analysis of spontaneous consumers' online communications (in the form of tweets), this study aims to investigate the motivations to engage with luxury garment renting within a collaborative consumption context. To this end, a series of automatic content analyses, via two studies, were conducted using the tweets posted with respect to the Run the Runway collaborative consumption platform. Results demonstrate consumers' increased willingness to show their social status through renting rather than owning luxurious apparel based on five main motivators (need to wear new clothes for a special event, inspirations created by the products/brands, possibility to explore a new way of consuming luxury goods, need to make more sustainable choices, and to increase the life cycle of each luxury product). The implications of these findings are discussed, while they pave the way for future research in collaborative consumption of luxury retailing. © 2020 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21345	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081242121&doi=10.1002%2fmar.21345&partnerID=40&md5=2042f182b67e0025cb1c49ce490f3149
Panzone L.A.; Ulph A.; Hilton D.; Gortemaker I.; Tajudeen I.A.	PUHGT_2021	Sustainable by Design: Choice Architecture and the Carbon Footprint of Grocery Shopping	Field Survey	Yes	2021	The increase in global temperatures requires substantial reductions in the greenhouse emissions from consumer choices. The authors use an experimental incentive-compatible online supermarket to analyze the effect of a carbon-based choice architecture, which presents commodities to customers in high, medium, and low carbon footprint groups, in reducing the carbon footprints of grocery baskets. The authors relate this choice architecture to two other policy interventions: (1) a bonus-malus carbon tax on all grocery products and (2) moral goal priming using an online banner noting the moral importance of reducing one’s carbon footprint. Participants shopped from their home in an online store containing 612 existing food products and 39 existing nonfood products for which the authors had carbon footprint data over three successive weeks, with the interventions occurring in the second and third weeks. Choice architecture reduced participants’ carbon footprint significantly in the third week by reducing the proportion of choices made in the high-carbon aisle. The carbon tax reduced carbon footprint in both weeks, primarily by reducing overall spend. The goal-priming banner led to a small reduction in carbon footprint in the second week only. Thus, the design of the marketplace plays an important role in achieving the policy objective of reducing greenhouse gas emissions. © The Author(s) 2021.	Journal of Public Policy and Marketing	10.1177/07439156211008898	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116044960&doi=10.1177%2f07439156211008898&partnerID=40&md5=52e79091f47211e8cfc4d6a55b67a557
Ryoo Y.; Hyun N.K.; Sung Y.	RHS_2017	The Effect of Descriptive Norms and Construal Level on Consumers' Sustainable Behaviors	Experiments	Yes	2017	With the assumption that the distinctive effect of provincial norms (versus general norms) derives from a spatial distance between the actors and reference groups, the present research examined whether the effect of two types of descriptive norms on consumers' sustainable behaviors can be moderated by construal-level messages. Both a laboratory (Study 1) and field experiment (Study 2) demonstrated that provincial norms (versus general norms) are more effective in encouraging consumers to participate in a sustainability campaign when paired with low-construal-level messages; but provincial norms are no longer superior to general norms when both norms are presented with high-construal-level messages. The findings collectively indicated that the congruence between types of descriptive norms and construal level messages leads to consumers' attitudinal and behavioral changes. Copyright © 2017, American Academy of Advertising.	Journal of Advertising	10.1080/00913367.2017.1396514	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037659762&doi=10.1080%2f00913367.2017.1396514&partnerID=40&md5=eec0c1f1a150e60e037aed5428bb9927
Reczek R.W.; Irwin J.R.; Zane D.M.; Ehrich K.R.	RIZE_2018	That's Not How i Remember It: Willfully Ignorant Memory for Ethical Product Attribute Information	Experiments	Yes	2018	This research documents a systematic bias in memory for ethical attribute information: consumers have better memory for an ethical attribute when a product performs well on the attribute versus when a product performs poorly on the attribute. Because consumers want to avoid emotionally difficult ethical information (e.g., child labor) but believe they should remember it in order to do the right thing, the presence of negative ethical information in a choice or evaluation produces conflict between the want and should selves. Consumers resolve this conflict by letting the want self prevail and forgetting or misremembering the negative ethical information. A series of studies establishes the willfully ignorant memory effect, shows that it holds only for ethical attributes and not for other attributes, and provides process evidence that it is driven by consumers allowing the want self to prevail in order to avoid negative feelings associated with the conflict. We also ameliorate the effect by reducing the amount of pressure exerted by the should self. Lastly, we demonstrate that consumers judge forgetting negative ethical information as more morally acceptable than remembering but ignoring it, suggesting that willfully ignorant memory is a more morally acceptable form of coping with want/should conflict. © 2017 The Author. Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved.	Journal of Consumer Research	10.1093/jcr/ucx120	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053030868&doi=10.1093%2fjcr%2fucx120&partnerID=40&md5=b28089407f66da8bd1cd9bb4cfff60d5
Ramirez E.; Jiménez F.R.; Gau R.	RJG_2015	Concrete and abstract goals associated with the consumption of environmentally sustainable products	Mixed Methods	Yes	2015	Purpose – This paper aims to identify and classify consumers’ goals associated with the consumption of environmentally sustainable products. The applicability of such goals to the positioning of environmental products is also tested. Design/methodology/approach – Study 1 used 62 laddering interviews to identify a hierarchical map of adoption related goals. Study 2 used a survey design (N = 152 students) to test the effects of construal-goal fit on evaluations of environmental product attributes of a hybrid car. Study 3 involved an online experiment (N = 125 consumer panellists) to test the effects of construal-goal fit on consumers’ willingness to pay a price premium (WTPP) for energy-efficient light bulbs. Findings – A hierarchical goal map displays consumption goals attainable through environmentally sustainable products. Consumers with a chronic, high-level construal placed more importance on product attributes associated with abstract goals than those with chronic, low-level construal. This effect was stronger for males than for females. Additionally, construal-goal fit increased WTPP. Research limitations/implications – The results suggest that marketers consider construal-goal fit to communicate the value of environmentally sustainable products. The results, however, should be replicated in other product categories and across diverse cultural settings. Originality/value – This paper identifies and classifies the goals related to consumption of environmentally sustainable products. Additionally, it tests the effects of construal-goal fit on evaluations of environmental products, providing insights for marketers seeking to improve their promotional efforts and for public policymakers as they institute demarketing campaigns. © 2015, Emerald Group Publishing Limited.	European Journal of Marketing	10.1108/EJM-08-2012-0483	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941138954&doi=10.1108%2fEJM-08-2012-0483&partnerID=40&md5=524be4f9f91e6b115ddd16f2e63a4c95
Ross G.R.; Meloy M.G.; Bolton L.E.	RMB_2021	Disorder and Downsizing	Experiments	Yes	2021	The consequences of overconsumption and the recent popularity of simple living point to consumer interest in reducing belongings. They also raise an interesting question-what is a useful approach to downsizing and decluttering? We investigate how dis/order (messy vs.Tidy items) affects downsizing and find, across nine focal studies, that (a) consumers retain fewer items when choosing from a disordered set because (b) order facilitates the comparisons within category that underlie the tendency to retain items. The impact of dis/order is altered by consumers' comparison tendencies, waste aversion, and decision strategy (selection vs. rejection), which serve as theoretically and pragmatically relevant moderators. Though consumers' lay beliefs favor rejecting from order (i.e., choosing what to get rid of from tidy items), our findings point to the usefulness of selecting from disorder (i.e., choosing what to keep from messy items) as a downsizing strategy. Together, this research has implications for consumer downsizing activities, the burgeoning home organization and storage industries, as well as sustainability. © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of Journal of Consumer Research, Inc. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com.	Journal of Consumer Research	10.1093/jcr/ucaa051	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105120845&doi=10.1093%2fjcr%2fucaa051&partnerID=40&md5=4c3edfbe356fbc314810b3dda9cf76dc
Sipilä J.; Alavi S.; Edinger-Schons L.M.; Dörfer S.; Schmitz C.	SAEDS_2021	Corporate social responsibility in luxury contexts: potential pitfalls and how to overcome them	Experiments	Yes	2021	Recent marketing research has identified mixed effects of luxury companies’ corporate social responsibility (CSR) engagement on customer-level outcomes. To gain a better understanding of these effects, we develop a conceptual framework in which we propose that, unless carefully implemented, CSR engagement leads to lower financial performance, decreased customer loyalty, and elevated extrinsic CSR attributions for luxury companies. These effects are exacerbated if consumers actively deliberate on the company’s CSR efforts. However, luxury companies can mitigate these pitfalls and reap the potential rewards of CSR engagement by (1) engaging in company-internal, especially employee-focused CSR instead of company-external, philanthropic CSR or (2) framing their brands as sustainable instead of exclusive. We find consistent support for our theorizing in five empirical studies. The results contribute to existing knowledge on stakeholder reactions to luxury brands’ CSR and can help managers successfully navigate the implementation of CSR in luxury contexts. © 2020, The Author(s).	Journal of the Academy of Marketing Science	10.1007/s11747-020-00755-x	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101163943&doi=10.1007%2fs11747-020-00755-x&partnerID=40&md5=db9bcc49812cfe3f2c9d828beb5ad288
Sekhon T.S.; Armstrong Soule C.A.	SAS_2020	Conspicuous anticonsumption: When green demarketing brands restore symbolic benefits to anticonsumers	Experiments	Yes	2020	This article introduces the concept of conspicuous anticonsumption and provides evidence that it can be an effective means for green demarketing brands to encourage anticonsumption. Conspicuous anticonsumption refers to practices whereby brands provide visible signals imbued with meaning that consumers use to convey environmental motivations for consumption reduction activities. Two experiments suggest that without a signal, observers perceive anticonsumers to have lower socioeconomic status. However, when a visible signal communicates environmental motivations for anticonsumption actions, negative status inferences are mitigated and perceptions of the associated brand become more favorable. These visible signals confer status and restore the symbolic benefits that are often lost when consumption is forgone. Because symbolic benefits are powerful drivers of consumption choices, conspicuous anticonsumption can appeal to a broader base of moderate consumers. This practice has the potential to reduce negative environmental impact on a societal level as well as have positive outcomes for the brand. Counter to the prosocial perspective taken in most anticonsumption literature and activist thinking, This study highlights the importance of focusing on the personal symbolic benefits and costs of anticonsumption at the individual level. © 2019 Wiley Periodicals, Inc.	Psychology and Marketing	10.1002/mar.21299	No	Sustainab*	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075434888&doi=10.1002%2fmar.21299&partnerID=40&md5=8c56096431a3e742dd552d8389ca7dcc
